Rank,Name,Company,Annual.pay,Age
353,Stephen D Steinour,Huntington Bancshares,4.28,53
354,Pierre R Brondeau,FMC,4.27,55
355,Mark A Blinn,Flowserve,4.27,50
356,Charles W Shivery,Northeast Utilities,4.26,66
357,Michael W Laphen,Computer Sciences,4.26,61
358,Alan D Wilson,McCormick & Co,4.22,54
359,Vincent A Forlenza,"Becton, Dickinson",4.206,59
360,Michael J Kowalski,Tiffany & Co,4.185,59
361,Thomas J Wilson,Allstate,4.14,54
362,Glenn K Murphy,Gap,4.145,50
363,Tunc Doluca,Maxim Integrated Products,4.12,55
364,Matthew J Shattock,Beam,4.09,50
365,Stanley M Bergman,Henry Schein,4.07,62
366,Kevin T Kabat,Fifth Third Bancorp,4.07,55
367,William Dillard II,Dillard's,4.055,67
368,Steven Freiberg,E-Trade Financial,4.04,55
369,David B Dillon,Kroger,4.045,61
370,Ursula M Burns,Xerox,4.025,53
371,Richard W Dreiling,Dollar General,3.975,59
372,Peter Swinburn,Molson Coors Brewing,3.935,59
373,Joseph M Rigby,Pepco Holdings,3.91,55
374,Theodore F Craver Jr,Edison International,3.9,60
375,Omar Ishrak,Medtronic,3.89,56
376,Charles E Haldeman Jr,Freddie Mac,3.87,64
377,Craig S Donohue,CME Group,3.83,50
378,James S Tisch,Loews,3.805,59
379,Inge G Thulin,3M,3.746,58
380,Joseph R Ficalora,New York Community Bancorp,3.685,65
381,Steven L Mueller,Southwestern Energy,3.655,58
382,Andr�s R Gluski,AES,3.656,54
383,Douglas M Baker Jr,Ecolab,3.6,53
384,David L Porges,EQT,3.56,54
385,Hikmet Ersek,Western Union,3.54,52
386,John D Johns,Protective Life,3.535,59
387,Rick P Hamada,Avnet,3.536,54
388,Donald W Slager,Republic Services,3.515,50
389,Ronald L Nelson,Avis Budget Group,3.505,59
390,Donald E Brandt,Pinnacle West Capital,3.495,56
391,John P Barnes,People's United Financial,3.48,56
392,Marc N Casper,Thermo Fisher Scientific,3.445,44
393,Christopher M Crane,Exelon,3.426,53
394,O B Grayson Hall,Regions Financial,3.405,54
395,Keith E Wandell,Harley-Davidson,3.405,62
396,Ronald B Johnson,JC Penney,3.38,53
397,John T Chambers,Cisco Systems,3.36,62
398,Albert L Lord,SLM,3.345,66
399,Paul C Reilly,Raymond James Financial,3.31,57
400,Daniel R DiMicco,Nucor,3.29,61
401,Willard D Oberton,Fastenal,3.26,53
402,Murray S Kessler,Lorillard,3.2,53
403,George A Scangos,Biogen Idec,3.205,64
404,Stephen W Golsby,Mead Johnson Nutrition,3.195,57
405,Harold W McGraw III,McGraw-Hill Cos,3.19,63
406,William E McCracken,CA,3.18,69
407,Steven H Collis,AmerisourceBergen,3.186,51
408,William H Spence,PPL,3.185,55
409,Christopher M Connor,Sherwin-Williams,3.16,56
410,Daniel M Delen,Reynolds American,3.11,46
411,Daniel J Starks,St Jude Medical,3.09,58
412,R Adam Norwitt,Amphenol,3.075,43
413,Heather Bresch,Mylan,3.065,42
414,Denise M Morrison,Campbell Soup,3.026,58
415,D Mark Durcan,Micron Technology,2.986,51
416,Carlos A Rodriguez,Automatic Data Processing,2.976,48
417,Gregory T Lucier,Life Technologies,2.93,47
418,Douglas A Berthiaume,Waters,2.935,63
419,Robert A Livingston,Dover,2.92,59
420,Fredric J Tomczyk,TD Ameritrade Holding,2.91,56
421,Jay Grinney,HealthSouth,2.905,61
422,Charles B Edelstein,Apollo Group,2.85,52
423,William H Rogers Jr,SunTrust Banks,2.83,54
